,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,4.48818,65.48,2.71643926884,0.0,100,7277,99.41,70.97
2020-05-01 00:05:00,4.48818,65.444,2.67916832482,0.0,100,7153,99.41,71.294
2020-05-01 00:10:00,4.48818,65.3,2.64850013861,0.0,100,7131,99.41,71.69
2020-05-01 00:15:00,4.52755,65.3,2.62421854338,0.0,100,7134,99.41,71.942
2020-05-01 00:20:00,4.52755,65.3,2.60015956317,0.0,100,7233,99.41,71.816
2020-05-01 00:25:00,4.52755,65.3,2.576321157,0.0,100,7245,99.42,71.564
2020-05-01 00:30:00,4.52755,65.264,2.56448403652,0.0,100,7246,99.42,71.42
2020-05-01 00:35:00,4.60629,65.12,2.55270130266,0.0,100,7242,99.42,71.366
2020-05-01 00:40:00,4.68503,65.12,2.60015956317,0.0,100,7248,99.43,71.348
2020-05-01 00:45:00,4.7244,65.192,2.6607250598,0.0,100,7250,99.43,71.276
2020-05-01 00:50:00,4.76377,65.3,2.71643926884,0.0,100,7252,99.43,71.222
2020-05-01 00:55:00,4.7244,65.3,2.75422870334,0.0,100,7255,99.43,71.168
2020-05-01 01:00:00,4.76377,65.3,2.77332010465,0.0,100,7256,99.42,71.132
2020-05-01 01:05:00,4.7244,65.3,2.77332010465,0.0,100,7258,99.41,71.078
2020-05-01 01:10:00,4.76377,65.48,2.75422870334,0.0,100,7132,99.41,71.06
2020-05-01 01:15:00,4.76377,65.48,2.73526872631,0.0,100,7255,99.41,71.078
2020-05-01 01:20:00,4.80314,65.48,2.69153480393,0.0,100,7258,99.4,71.042
2020-05-01 01:25:00,4.76377,65.48,2.63633138583,0.0,100,7260,99.41,71.006
2020-05-01 01:30:00,4.7244,65.48,2.60615355,0.0,100,7261,99.41,70.988
2020-05-01 01:35:00,4.7244,65.48,2.58226019063,0.0,100,7262,99.41,70.952
2020-05-01 01:40:00,4.68503,65.48,2.57039578277,0.0,100,7264,99.4,70.934
2020-05-01 01:45:00,4.7244,65.48,2.55858588691,0.0,100,7263,99.4,70.916
2020-05-01 01:50:00,4.7244,65.48,2.54683025259,0.0,100,7264,99.4,70.898
2020-05-01 01:55:00,4.68503,65.588,2.54683025259,0.0,100,7264,99.4,70.88
2020-05-01 02:00:00,4.68503,65.516,2.54097270555,0.0,100,7264,99.39,70.88
2020-05-01 02:05:00,4.68503,65.48,2.54097270555,0.0,100,7267,99.39,70.862
2020-05-01 02:10:00,4.64566,65.48,2.54097270555,0.0,100,7266,99.4,70.844
2020-05-01 02:15:00,4.64566,65.48,2.54097270555,0.0,100,7264,99.39,70.826
2020-05-01 02:20:00,4.64566,65.48,2.5351286305,0.0,100,7258,99.39,70.844
2020-05-01 02:25:00,4.64566,65.48,2.52929799645,0.0,100,7263,99.39,70.88
2020-05-01 02:30:00,4.68503,65.48,2.52929799645,0.0,100,7265,99.4,70.862
2020-05-01 02:35:00,4.84251,65.48,2.5351286305,0.0,100,7267,99.39,70.844
2020-05-01 02:40:00,5.03936,65.66,2.6302679919,0.0,100,7264,99.39,70.826
