,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,3.97637,66.56,1.89670592121,0.0,100,7537,99.46,66.722
2020-05-01 00:05:00,3.97637,66.56,1.92309172891,0.0,97,7443,99.46,67.082
2020-05-01 00:10:00,3.937,66.56,1.94536008162,0.0,97,7430,99.46,67.496
2020-05-01 00:15:00,3.937,66.452,1.94536008162,0.0,96,7413,99.46,67.766
2020-05-01 00:20:00,3.937,66.524,1.95433945578,0.0,99,7486,99.47,67.586
2020-05-01 00:25:00,3.97637,66.452,1.95884467351,0.0,99,7493,99.47,67.298
2020-05-01 00:30:00,3.97637,66.416,1.95884467351,0.0,99,7490,99.47,67.136
2020-05-01 00:35:00,4.09448,66.38,1.95884467351,0.0,99,7494,99.48,67.028
2020-05-01 00:40:00,4.05511,66.416,1.88364908949,0.0,99,7497,99.48,66.938
2020-05-01 00:45:00,3.97637,66.56,1.81551566277,0.0,99,7496,99.48,66.866
2020-05-01 00:50:00,4.01574,66.56,1.83653834335,0.0,100,7501,99.48,66.812
2020-05-01 00:55:00,3.97637,66.56,1.85780445509,0.0,100,7501,99.48,66.74
2020-05-01 01:00:00,4.21259,66.56,1.86637969083,0.0,99,7498,99.47,66.686
2020-05-01 01:05:00,4.3307,66.56,1.89234361864,0.0,100,7501,99.46,66.65
2020-05-01 01:10:00,4.25196,66.704,1.73780082875,0.0,100,7501,99.46,66.596
2020-05-01 01:15:00,4.09448,66.74,1.56314764264,0.0,100,7501,99.46,66.56
2020-05-01 01:20:00,4.01574,66.74,1.47570653328,0.0,100,7503,99.46,66.524
2020-05-01 01:25:00,4.09448,66.74,1.51705036746,0.0,100,7503,99.46,66.47
2020-05-01 01:30:00,4.13385,66.74,1.51705036746,0.0,100,7502,99.46,66.452
2020-05-01 01:35:00,4.05511,66.74,1.51705036746,0.0,100,7503,99.46,66.416
2020-05-01 01:40:00,3.97637,66.74,1.61808003764,0.0,100,7504,99.45,66.398
2020-05-01 01:45:00,3.937,66.74,1.71395730751,0.0,100,7504,99.45,66.362
2020-05-01 01:50:00,3.937,66.74,1.77418948089,0.0,100,7504,99.45,66.344
2020-05-01 01:55:00,3.937,66.596,1.83231442237,0.0,100,7505,99.45,66.326
2020-05-01 02:00:00,3.97637,66.56,1.86637969083,0.0,100,7504,99.45,66.29
2020-05-01 02:05:00,3.937,66.56,1.85353162341,0.0,100,7503,99.45,66.254
2020-05-01 02:10:00,4.76377,66.632,1.706082389,0.0,100,7504,99.45,66.236
2020-05-01 02:15:00,4.7244,66.92,1.19949930315,0.0,100,7504,99.45,66.218
2020-05-01 02:20:00,4.37007,67.28,1.10662378398,0.0,100,7505,99.44,66.2
2020-05-01 02:25:00,4.21259,67.28,1.14024978756,0.0,100,7505,99.45,66.164
2020-05-01 02:30:00,4.09448,67.28,1.18032063565,0.0,100,7507,99.45,66.164
2020-05-01 02:35:00,3.97637,67.28,1.26765186586,0.0,100,7508,99.45,66.146
2020-05-01 02:40:00,3.97637,67.28,1.43548943335,0.0,100,7505,99.45,66.128
2020-05-01 02:45:00,3.937,67.1,1.61808003764,0.0,100,7507,99.44,66.092
2020-05-01 02:50:00,4.37007,66.92,1.66341265037,0.0,100,7507,99.45,66.092
2020-05-01 02:55:00,6.2992,67.316,1.04472021922,0.0,100,7507,99.44,66.056
