,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,5.86613,66.02,2.78612116863,0.0,100,7911,98.59,78.206
2020-05-01 00:05:00,5.86613,66.02,2.78612116863,0.0,100,7770,98.59,78.494
2020-05-01 00:10:00,5.86613,66.02,2.79254384124,0.0,100,7700,98.58,78.89
2020-05-01 00:15:00,5.86613,66.02,2.79254384124,0.0,100,7636,98.58,79.142
2020-05-01 00:20:00,5.86613,66.02,2.79898131963,0.0,100,7749,98.58,78.944
2020-05-01 00:25:00,5.86613,66.02,2.79254384124,0.0,100,7762,98.57,78.62
2020-05-01 00:30:00,5.9055,66.02,2.80543363795,0.0,100,7770,98.57,78.422
2020-05-01 00:35:00,5.86613,66.02,2.80543363795,0.0,100,7774,98.57,78.26
2020-05-01 00:40:00,5.86613,66.02,2.81838293126,0.0,100,7779,98.57,78.116
2020-05-01 00:45:00,5.86613,66.02,2.82487997492,0.0,100,7778,98.57,77.972
2020-05-01 00:50:00,5.9055,66.02,2.82487997492,0.0,100,7783,98.58,77.864
2020-05-01 00:55:00,5.86613,66.02,2.84446110745,0.0,100,7782,98.58,77.756
2020-05-01 01:00:00,5.86613,66.02,2.8510182675,0.0,100,7788,98.58,77.63
2020-05-01 01:05:00,5.86613,66.02,2.85759054337,0.0,100,7790,98.58,77.54
2020-05-01 01:10:00,5.86613,66.02,2.85759054337,0.0,100,7787,98.58,77.432
2020-05-01 01:15:00,5.86613,66.02,2.85759054337,0.0,100,7787,98.58,77.324
2020-05-01 01:20:00,5.82676,66.02,2.85759054337,0.0,100,7796,98.59,77.234
2020-05-01 01:25:00,5.86613,66.02,2.86417796991,0.0,100,7793,98.59,77.126
2020-05-01 01:30:00,5.86613,66.02,2.86417796991,0.0,100,7789,98.59,77.054
2020-05-01 01:35:00,5.86613,66.02,2.86417796991,0.0,100,7792,98.59,76.982
2020-05-01 01:40:00,5.86613,66.02,2.86417796991,0.0,100,7792,98.59,76.91
2020-05-01 01:45:00,5.9055,66.02,2.86417796991,0.0,100,7789,98.59,76.838
2020-05-01 01:50:00,5.86613,66.02,2.87078058202,0.0,100,7792,98.59,76.766
2020-05-01 01:55:00,5.86613,66.02,2.87078058202,0.0,100,7796,98.58,76.694
2020-05-01 02:00:00,5.86613,66.02,2.87078058202,0.0,100,7798,98.58,76.64
2020-05-01 02:05:00,5.82676,66.02,2.88403150313,0.0,100,7798,98.57,76.586
2020-05-01 02:10:00,5.9055,66.02,2.88403150313,0.0,100,7798,98.58,76.55
2020-05-01 02:15:00,6.33857,66.02,2.88403150313,0.0,100,7801,98.57,76.496
2020-05-01 02:20:00,6.49605,66.02,2.88403150313,0.0,100,7802,98.56,76.442
2020-05-01 02:25:00,6.53542,66.02,2.88403150313,0.0,100,7803,98.56,76.388
2020-05-01 02:30:00,6.45668,66.02,2.89067988237,0.0,100,7806,98.56,76.298
2020-05-01 02:35:00,6.41731,66.02,2.8973435877,0.0,100,7805,98.55,76.244
2020-05-01 02:40:00,6.33857,66.02,2.8973435877,0.0,100,7811,98.55,76.226
2020-05-01 02:45:00,6.25983,66.02,2.59417936212,0.0,100,7808,98.55,76.208
2020-05-01 02:50:00,6.22046,65.984,2.58821291515,0.0,100,7808,98.55,76.136
2020-05-01 02:55:00,6.14172,65.84,2.59417936212,0.0,100,7811,98.55,76.064
2020-05-01 03:00:00,6.14172,65.84,2.60015956317,0.0,100,7812,98.55,75.974
2020-05-01 03:05:00,6.10235,65.84,2.59417936212,0.0,100,7815,98.56,75.92
2020-05-01 03:10:00,6.02361,65.84,2.59417936212,0.0,100,7815,98.57,75.83
2020-05-01 03:15:00,6.02361,65.84,2.59417936212,0.0,100,7815,98.57,75.776
2020-05-01 03:20:00,6.02361,65.84,2.60015956317,0.0,100,7817,98.57,75.74
2020-05-01 03:25:00,5.98424,65.84,2.60015956317,0.0,100,7818,98.57,75.704
2020-05-01 03:30:00,5.98424,65.84,2.60615355,0.0,100,7818,98.58,75.686
2020-05-01 03:35:00,5.94487,65.84,2.60015956317,0.0,100,7821,98.57,75.65
2020-05-01 03:40:00,5.94487,65.84,2.60015956317,0.0,100,7821,98.57,75.632
2020-05-01 03:45:00,5.9055,65.84,2.61818300822,0.0,100,7824,98.56,75.632
2020-05-01 03:50:00,5.94487,65.84,2.46603933723,0.0,100,7825,98.56,75.632
2020-05-01 03:55:00,5.9055,65.84,2.49459472694,0.0,100,7823,98.55,75.632
2020-05-01 04:00:00,5.9055,65.84,2.47742205763,0.0,100,7827,98.55,75.614
2020-05-01 04:05:00,5.9055,65.84,2.47172414502,0.0,100,7826,98.55,75.578
2020-05-01 04:10:00,5.9055,65.84,2.47742205763,0.0,100,7825,98.55,75.56
2020-05-01 04:15:00,5.9055,65.84,2.47742205763,0.0,100,7827,98.56,75.56
2020-05-01 04:20:00,5.86613,65.84,2.47172414502,0.0,100,7827,98.56,75.56
2020-05-01 04:25:00,5.86613,65.84,2.46036760415,0.0,100,7828,98.56,75.542
2020-05-01 04:30:00,5.86613,65.84,2.34422881532,0.0,100,7830,98.57,75.506
2020-05-01 04:35:00,5.82676,65.84,2.29614864811,0.0,100,7830,98.57,75.488
2020-05-01 04:40:00,5.86613,65.84,2.29086765277,0.0,100,7830,98.57,75.452
2020-05-01 04:45:00,5.86613,65.84,2.29614864811,0.0,100,7833,98.56,75.416
2020-05-01 04:50:00,5.82676,65.84,2.29614864811,0.0,100,7831,98.57,75.398
2020-05-01 04:55:00,5.82676,65.84,2.29614864811,0.0,100,7833,98.56,75.344
2020-05-01 05:00:00,5.82676,65.84,2.29614864811,0.0,100,7833,98.56,75.308
2020-05-01 05:05:00,5.86613,65.84,2.30674718872,0.0,100,7836,98.56,75.308
2020-05-01 05:10:00,5.86613,65.84,2.32273679636,0.0,100,7835,98.56,75.308
2020-05-01 05:15:00,6.02361,65.84,2.32809125767,0.0,100,7836,98.56,75.29
2020-05-01 05:20:00,6.53542,65.84,2.32809125767,0.0,100,7711,98.56,75.254
2020-05-01 05:25:00,7.00786,65.84,2.33345806228,0.0,100,7808,98.57,75.272
2020-05-01 05:30:00,7.16534,65.84,2.31206479018,0.0,100,7812,98.56,75.254
