,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,7.04723,68.72,1.85353162341,0.0,100,7580,99.43,63.932
2020-05-01 00:05:00,7.24408,68.576,1.83231442237,0.0,99,7484,99.43,64.202
2020-05-01 00:10:00,7.20471,68.54,1.79473362683,0.0,98,7468,99.43,64.544
2020-05-01 00:15:00,7.00786,68.432,1.78648757485,0.0,98,7453,99.42,64.724
2020-05-01 00:20:00,6.96849,68.36,1.80717412601,0.0,100,7526,99.42,64.508
2020-05-01 00:25:00,6.88975,68.36,1.83231442237,0.0,100,7534,99.42,64.13
2020-05-01 00:30:00,6.92912,68.36,1.85780445509,0.0,100,7536,99.42,63.896
2020-05-01 00:35:00,6.81101,68.36,1.87068214037,0.0,100,7537,99.43,63.716
2020-05-01 00:40:00,6.96849,68.288,1.88364908949,0.0,100,7538,99.43,63.554
2020-05-01 00:45:00,7.16534,68.36,1.84077200147,0.0,100,7539,99.44,63.41
2020-05-01 00:50:00,6.88975,68.36,1.82389570232,0.0,100,7542,99.45,63.266
2020-05-01 00:55:00,6.81101,68.36,1.85353162341,0.0,100,7542,99.45,63.158
2020-05-01 01:00:00,6.6929,68.36,1.87499450807,0.0,100,7544,99.44,63.104
2020-05-01 01:05:00,6.6929,68.36,1.90107827992,0.0,100,7542,99.44,63.068
2020-05-01 01:10:00,6.61416,68.36,1.92309172891,0.0,100,7542,99.43,63.068
2020-05-01 01:15:00,6.65353,68.216,1.93196831702,0.0,100,7544,99.42,63.086
2020-05-01 01:20:00,6.61416,68.18,1.94536008162,0.0,100,7545,99.42,63.122
2020-05-01 01:25:00,6.61416,68.18,1.94536008162,0.0,100,7545,99.42,63.158
2020-05-01 01:30:00,6.61416,68.18,1.95433945578,0.0,100,7544,99.42,63.212
2020-05-01 01:35:00,6.61416,68.18,1.95884467351,0.0,100,7544,99.42,63.266
2020-05-01 01:40:00,6.61416,68.18,1.95884467351,0.0,100,7547,99.42,63.32
2020-05-01 01:45:00,6.61416,68.18,1.95884467351,0.0,100,7545,99.42,63.356
2020-05-01 01:50:00,6.77164,68.18,1.96336027684,0.0,100,7548,99.42,63.41
2020-05-01 01:55:00,7.0866,68.18,1.94088587759,0.0,100,7547,99.41,63.446
2020-05-01 02:00:00,7.04723,68.36,1.89670592121,0.0,100,7545,99.42,63.482
2020-05-01 02:05:00,7.12597,68.36,1.87499450807,0.0,100,7549,99.42,63.536
2020-05-01 02:10:00,6.88975,68.36,1.84501541918,0.0,100,7549,99.41,63.572
2020-05-01 02:15:00,6.77164,68.432,1.85353162341,0.0,100,7545,99.41,63.626
2020-05-01 02:20:00,6.6929,68.468,1.87499450807,0.0,100,7546,99.4,63.662
2020-05-01 02:25:00,6.6929,68.36,1.89234361864,0.0,100,7548,99.4,63.68
2020-05-01 02:30:00,6.6929,68.36,1.90985325857,0.0,100,7549,99.4,63.716
2020-05-01 02:35:00,6.73227,68.36,1.91425592502,0.0,100,7548,99.39,63.734
2020-05-01 02:40:00,6.88975,68.36,1.92309172891,0.0,100,7551,99.4,63.752
2020-05-01 02:45:00,6.92912,68.36,1.94536008162,0.0,100,7547,99.4,63.752
2020-05-01 02:50:00,7.12597,68.36,1.99986186963,0.0,100,7549,99.4,63.77
2020-05-01 02:55:00,7.59841,68.36,2.05589059598,0.0,100,7550,99.41,63.77
2020-05-01 03:00:00,7.79526,68.36,2.05589059598,0.0,100,7552,99.41,63.788
2020-05-01 03:05:00,7.75589,68.36,2.00909281261,0.0,100,7550,99.4,63.806
2020-05-01 03:10:00,7.51967,68.36,1.97242273611,0.0,100,7550,99.4,63.842
2020-05-01 03:15:00,7.36219,68.36,1.94536008162,0.0,100,7549,99.4,63.842
2020-05-01 03:20:00,7.16534,68.36,1.92752491319,0.0,100,7546,99.4,63.86
2020-05-01 03:25:00,7.00786,68.324,1.92309172891,0.0,100,7550,99.4,63.878
2020-05-01 03:30:00,6.92912,68.36,1.93196831702,0.0,100,7549,99.39,63.878
2020-05-01 03:35:00,6.88975,68.36,1.93196831702,0.0,100,7549,99.38,63.878
2020-05-01 03:40:00,6.92912,68.36,1.93642196395,0.0,100,7550,99.38,63.878
2020-05-01 03:45:00,6.85038,68.36,1.93196831702,0.0,100,7552,99.38,63.86
2020-05-01 03:50:00,6.85038,68.36,1.91866874067,0.0,100,7549,99.39,63.86
