,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
5/1/2020 0:00,5.66928,64.94,2.488857318,0,64,6602,99.53,66.056
5/1/2020 0:05,5.62991,64.94,2.471724145,0,55,6394,99.53,66.452
5/1/2020 0:10,5.59054,64.94,2.471724145,0,55,6376,99.53,66.884
5/1/2020 0:15,5.62991,64.94,2.466039337,0,54,6354,99.54,67.154
5/1/2020 0:20,5.59054,64.94,2.449063242,0,61,6545,99.54,67.01
5/1/2020 0:25,5.62991,64.94,2.449063242,0,62,6559,99.54,66.812
5/1/2020 0:30,5.62991,64.94,2.466039337,0,62,6562,99.54,66.74
5/1/2020 0:35,5.62991,64.94,2.477422058,0,62,6566,99.55,66.704
5/1/2020 0:40,5.66928,64.94,2.471724145,0,62,6571,99.55,66.632
5/1/2020 0:45,5.70865,64.94,2.477422058,0,62,6573,99.56,66.56
5/1/2020 0:50,5.66928,64.94,2.477422058,0,62,6573,99.55,66.452
5/1/2020 0:55,5.66928,64.94,2.471724145,0,63,6575,99.55,66.344
5/1/2020 1:00,5.70865,64.94,2.471724145,0,63,6578,99.54,66.236
5/1/2020 1:05,5.74802,64.94,2.477422058,0,63,6579,99.54,66.146
5/1/2020 1:10,5.9055,64.94,2.466039337,0,63,6581,99.54,66.056
5/1/2020 1:15,5.98424,64.94,2.471724145,0,63,6580,99.53,65.966
5/1/2020 1:20,5.94487,64.94,2.466039337,0,63,6581,99.53,65.858
5/1/2020 1:25,5.82676,64.94,2.460367604,0,63,6581,99.54,65.786
5/1/2020 1:30,5.86613,64.94,2.398832919,0,63,6579,99.54,65.75
5/1/2020 1:35,5.9055,64.94,2.208004733,0,63,6581,99.53,65.75
5/1/2020 1:40,5.9055,64.94,2.360478233,0,63,6580,99.53,65.75
5/1/2020 1:45,5.82676,64.94,2.387811283,0,63,6583,99.53,65.732
5/1/2020 1:50,5.78739,64.94,2.393315756,0,63,6581,99.53,65.696
5/1/2020 1:55,5.74802,64.94,2.426610095,0,63,6581,99.52,65.624
5/1/2020 2:00,5.78739,64.94,2.443430553,0,63,6582,99.52,65.57
5/1/2020 2:05,5.78739,64.94,2.437810818,0,63,6584,99.52,65.516
5/1/2020 2:10,5.78739,64.94,2.443430553,0,63,6581,99.52,65.48
5/1/2020 2:15,6.18109,64.94,2.443430553,0,63,6581,99.52,65.426
5/1/2020 2:20,6.2992,64.94,2.437810818,0,63,6581,99.51,65.39
5/1/2020 2:25,6.14172,64.94,2.437810818,0,63,6581,99.52,65.318
5/1/2020 2:30,6.02361,64.94,2.437810818,0,63,6583,99.52,65.246
5/1/2020 2:35,5.94487,64.94,2.443430553,0,63,6582,99.52,65.192
5/1/2020 2:40,5.86613,64.94,2.437810818,0,63,6584,99.52,65.138
