,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,10.55116,63.5,1.60324539069,0.0,100,7598,96.44,61.574
2020-05-01 00:05:00,10.6299,63.5,1.66341265037,0.0,100,7513,96.44,61.88
2020-05-01 00:10:00,10.66927,63.5,1.68655302539,0.0,99,7492,96.44,62.258
2020-05-01 00:15:00,10.6299,63.5,1.71790838716,0.0,98,7472,96.44,62.474
2020-05-01 00:20:00,10.70864,63.5,1.77418948089,0.0,100,7549,96.43,62.294
2020-05-01 00:25:00,10.78738,63.5,1.75792361396,0.0,100,7555,96.44,61.988
2020-05-01 00:30:00,10.94486,63.5,1.706082389,0.0,100,7555,96.45,61.754
2020-05-01 00:35:00,10.94486,63.356,1.63305194789,0.0,100,7558,96.45,61.574
2020-05-01 00:40:00,10.90549,63.32,1.66341265037,0.0,100,7559,96.45,61.43
2020-05-01 00:45:00,10.98423,63.32,1.53108746168,0.0,100,7560,96.46,61.322
2020-05-01 00:50:00,11.0236,63.32,1.55596563161,0.0,100,7561,96.46,61.178
2020-05-01 00:55:00,10.94486,63.32,1.48593564229,0.0,100,7561,96.46,61.07
2020-05-01 01:00:00,10.90549,63.392,1.48251808515,0.0,100,7563,96.46,60.98
2020-05-01 01:05:00,11.10234,63.5,1.63681652143,0.0,100,7563,96.45,60.926
2020-05-01 01:10:00,11.18108,63.5,1.82810021614,0.0,100,7563,96.45,60.89
2020-05-01 01:15:00,11.25982,63.5,1.74582215292,0.0,100,7562,96.45,60.872
2020-05-01 01:20:00,11.22045,63.5,1.85353162341,0.0,100,7564,96.44,60.854
2020-05-01 01:25:00,11.10234,63.5,1.78237876745,0.0,100,7563,96.44,60.818
2020-05-01 01:30:00,10.86612,63.5,1.67494287603,0.0,100,7568,96.45,60.8
2020-05-01 01:35:00,10.78738,63.5,1.65196179823,0.0,100,7564,96.45,60.782
2020-05-01 01:40:00,10.94486,63.5,1.71790838716,0.0,100,7563,96.44,60.746
2020-05-01 01:45:00,11.06297,63.5,1.74180687339,0.0,100,7565,96.45,60.728
2020-05-01 01:50:00,11.14171,63.5,1.65196179823,0.0,100,7569,96.44,60.71
2020-05-01 01:55:00,10.74801,63.5,1.67494287603,0.0,100,7567,96.44,60.692
2020-05-01 02:00:00,10.74801,63.5,1.64816239153,0.0,100,7568,96.44,60.674
